epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1090.87,0.63413,0.34984,1.05453,0.95224,0.95103,0.98976,0.84231,0.57633,0.31183,0.9976,0.000462281,0.000462281,0.000462281
43,1116.3,0.63136,0.34329,1.04991,0.97616,0.98119,0.99363,0.84907,0.56461,0.2642,0.99196,0.000438703,0.000438703,0.000438703
44,1141.68,0.62408,0.34531,1.04676,0.97331,0.97433,0.99044,0.85637,0.54766,0.25364,0.98149,0.000415124,0.000415124,0.000415124
45,1168.07,0.62381,0.3388,1.04573,0.98645,0.98755,0.99367,0.85674,0.5537,0.25137,0.98332,0.000391546,0.000391546,0.000391546
46,1194.54,0.62302,0.34015,1.04647,0.98344,0.98254,0.99332,0.85743,0.55242,0.25458,0.98862,0.000367967,0.000367967,0.000367967
47,1220.69,0.61623,0.33974,1.04514,0.9813,0.9897,0.99365,0.85641,0.55585,0.25168,0.98437,0.000344389,0.000344389,0.000344389
48,1246.86,0.60688,0.32574,1.03473,0.97405,0.98129,0.99417,0.85731,0.55103,0.25816,0.98513,0.00032081,0.00032081,0.00032081
49,1272.36,0.60752,0.32949,1.03763,0.97953,0.9842,0.99471,0.86159,0.54678,0.24571,0.97974,0.000297232,0.000297232,0.000297232
50,1298.58,0.60285,0.324,1.03323,0.97401,0.97747,0.99396,0.85946,0.54015,0.25096,0.97733,0.000273654,0.000273654,0.000273654
51,1342.59,0.4789,0.22234,0.9486,0.97226,0.96762,0.9936,0.86024,0.53705,0.25542,0.97379,0.000250075,0.000250075,0.000250075
52,1368.05,0.47003,0.21665,0.94135,0.95893,0.94843,0.98947,0.8528,0.54327,0.27229,0.97489,0.000226497,0.000226497,0.000226497
53,1393.45,0.46386,0.21024,0.93896,0.97684,0.97687,0.99455,0.8614,0.53032,0.24892,0.97111,0.000202918,0.000202918,0.000202918
54,1420.14,0.45692,0.20948,0.93594,0.98965,0.99177,0.99482,0.8641,0.52588,0.22751,0.96193,0.00017934,0.00017934,0.00017934
55,1445.68,0.44703,0.20397,0.93155,0.98445,0.98956,0.9948,0.86412,0.52167,0.23049,0.96232,0.000155761,0.000155761,0.000155761
56,1471.03,0.44617,0.20417,0.92779,0.98212,0.99168,0.99472,0.86677,0.51564,0.23006,0.96322,0.000132183,0.000132183,0.000132183
57,1496.41,0.44169,0.20018,0.9231,0.99048,0.98922,0.99464,0.8638,0.5159,0.22717,0.95785,0.000108604,0.000108604,0.000108604
58,1522.41,0.44012,0.19752,0.9237,0.99303,0.99276,0.99488,0.86985,0.51372,0.21996,0.95941,8.50255e-05,8.50255e-05,8.50255e-05
59,1548.74,0.43358,0.19246,0.92023,0.99396,0.99587,0.99489,0.86849,0.51098,0.21637,0.95619,6.1447e-05,6.1447e-05,6.1447e-05
60,1574.06,0.42957,0.19184,0.91687,0.9951,0.99424,0.99488,0.87025,0.51189,0.21523,0.95796,3.78685e-05,3.78685e-05,3.78685e-05
