epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.37,0.60819,0.3361,1.04527,0.83144,0.87102,0.85929,0.67215,0.75438,0.47333,1.10983,0.000462281,0.000462281,0.000462281
43,1121.44,0.61285,0.33814,1.047,0.84076,0.84305,0.92019,0.74104,0.69951,0.46593,1.06672,0.000438703,0.000438703,0.000438703
44,1146.79,0.60363,0.32885,1.0405,0.73317,0.82441,0.84153,0.66593,0.69095,0.64039,1.07263,0.000415124,0.000415124,0.000415124
45,1171.93,0.60336,0.33159,1.0431,0.7782,0.90547,0.88815,0.69494,0.72683,0.49149,1.10289,0.000391546,0.000391546,0.000391546
46,1197.15,0.59506,0.31784,1.03159,0.84832,0.85496,0.91193,0.72304,0.73188,0.51683,1.11015,0.000367967,0.000367967,0.000367967
47,1222.86,0.59486,0.32273,1.0356,0.77788,0.81212,0.85892,0.66866,0.71893,0.52193,1.09858,0.000344389,0.000344389,0.000344389
48,1247.84,0.59011,0.31322,1.03035,0.80949,0.83184,0.89266,0.71404,0.69808,0.52558,1.07732,0.00032081,0.00032081,0.00032081
49,1273.03,0.59168,0.31726,1.0344,0.77484,0.91105,0.88232,0.68494,0.73776,0.46322,1.10759,0.000297232,0.000297232,0.000297232
50,1298.08,0.58138,0.31047,1.02668,0.8111,0.87225,0.89159,0.71162,0.70944,0.49908,1.09328,0.000273654,0.000273654,0.000273654
51,1341.83,0.45682,0.21721,0.93677,0.76388,0.87085,0.82766,0.66401,0.72048,0.50307,1.09139,0.000250075,0.000250075,0.000250075
52,1366.8,0.45371,0.20887,0.9335,0.79161,0.8861,0.86698,0.69639,0.72104,0.5095,1.08798,0.000226497,0.000226497,0.000226497
53,1392,0.44634,0.20796,0.93048,0.8178,0.82609,0.87541,0.70244,0.70437,0.54382,1.08276,0.000202918,0.000202918,0.000202918
54,1417.05,0.43924,0.20258,0.92892,0.78013,0.85252,0.84077,0.66804,0.72269,0.5314,1.0947,0.00017934,0.00017934,0.00017934
55,1442.52,0.43769,0.19941,0.9224,0.83538,0.84925,0.8817,0.71188,0.6918,0.51609,1.07215,0.000155761,0.000155761,0.000155761
56,1467.74,0.43143,0.19893,0.92261,0.82375,0.78633,0.8459,0.68909,0.68049,0.62068,1.06811,0.000132183,0.000132183,0.000132183
57,1493.41,0.4263,0.1931,0.9145,0.87184,0.78408,0.87652,0.70832,0.69281,0.5544,1.08264,0.000108604,0.000108604,0.000108604
58,1518.73,0.42394,0.19213,0.91756,0.84058,0.80319,0.88454,0.71782,0.68132,0.5355,1.07055,8.50255e-05,8.50255e-05,8.50255e-05
